TD1,AC,732,548,174,8,707,10,7
TD2,AL,4771,2745,2024,70,4547,142,12
TD3,AP,389,204,185,23,356,10,
TD4,AM,4841,3073,1767,45,4749,25,22
TD5,BA,15442,12029,3398,393,14645,362,42
TD6,CE,9886,6679,3204,161,9529,133,63
TD7,DF,4193,2749,1444,101,3936,156,
TD8,ES,4270,2437,1831,339,3671,254,6
TD9,GO,6757,3282,3460,291,6010,387,69
TD10,MA,7827,4329,3329,213,6988,273,353
TD11,MT,3126,2484,642,237,2744,137,8
TD12,MS,4497,2914,1582,168,4181,136,12
TD13,MG,43283,29716,13556,3038,38501,1700,44
TD14,PA,2979,1824,1149,112,2803,51,13
TD15,PB,4504,2770,1732,65,4379,58,2
TD16,PR,14874,9985,4872,1130,12634,1052,58
TD17,PE,12269,8645,3606,432,11376,410,51
TD18,PI,1816,1117,696,59,1672,53,32
TD19,RJ,27634,13258,14351,509,25815,1102,208
TD20,RN,2937,2119,814,83,2771,73,10
TD21,RS,6809,4437,2359,919,5591,281,18
TD22,RO,3014,2274,737,53,2895,60,6
TD23,RR,86,40,46,4,79,2,1
TD24,SC,10788,7289,3487,1774,8457,478,79
TD25,SP,97805,70882,26849,2765,92051,2835,154
TD26,SE,1981,1304,677,84,1822,71,4
TD27,TO,2336,1727,607,92,2165,71,8
