"RGF1","AC","000000000021","000000000225","000000000134",,"000000000007"
"RGF2","AL","000000000071","000000001705","000000000735","000000000024","000000000062"
"RGF3","AP","000000000003","000000000128","000000000060","000000000002","000000000003"
"RGF4","AM","000000000090","000000000399","000000002076","000000000004","000000000070"
"RGF5","BA","000000000325","000000004835","000000002490","000000000029","000000000273"
"RGF6","CE","000000000198","000000003155","000000001658","000000000025","000000000403"
"RGF7","DF","000000000056","000000000705","000000001587","000000000083","000000000352"
"RGF8","ES","000000000124","000000001285","000000001220","000000000017","000000000031"
"RGF9","GO","000000000156","000000002445","000000001332","000000000038","000000000054"
"RGF10","MA","000000000285","000000001819","000000001365","000000000046","000000000036"
"RGF11","MT","000000000253","000000000624","000000000724","000000000017","000000000046"
"RGF12","MS","000000000091","000000001514","000000000787","000000000024","000000000057"
"RGF13","MG","000000000807","000000013256","000000010213","000000000099","000000000529"
"RGF14","PA","000000000072","000000000653","000000000470","000000000008","000000000020"
"RGF15","PB","000000000290","000000001460","000000000488","000000000007","000000000022"
"RGF16","PR","000000000375","000000005112","000000004188","000000000072","000000000332"
"RGF17","PE","000000000196","000000004210","000000001614","000000000038","000000000216"
"RGF18","PI","000000000030","000000000673","000000000222","000000000009","000000000036"
"RGF19","RJ","000000000300","000000005562","000000002949","000000000174","000000005950"
"RGF20","RN","000000000061","000000001028","000000000283","000000000007","000000000020"
"RGF21","RS","000000000168","000000002468","000000001440","000000000022","000000000032"
"RGF22","RO","000000000081","000000000875","000000000744","000000000019","000000000027"
"RGF23","RR","000000000007","000000000025","000000000014","000000000002","000000000001"
"RGF24","SC","000000000356","000000003747","000000002538","000000000045","000000000069"
"RGF25","SP","000000001512","000000031537","000000017828","000000000501","000000002770"
"RGF26","SE","000000000033","000000000735","000000000271","000000000006","000000000008"
"RGF27","TO","000000000061","000000000645","000000000426","000000000037","000000000052"
